Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
Tracy Mitrano,Information Science,2.6,4.0,12,"Seminar-style class with a lot of readings, but is easy to do well in even if you don't read all the books. I appreciated prof bringing in guest lecturers (Google employee, other profs) to explain technical topics. Sometimes disorganized lectures but if you participate in every 2 lectures, you'll get full credit. Attending OH helped with essays."
Tracy McNulty,Literature,4.6,2.8,4,"Incredibly knowledgeable and passionate about her subject. The course was definitely reading heavy and you are expected to participate regularly. Gives good, detailed feedback on papers, always happy to meet during office hours, and accommodating regarding extensions. Overall, a phenomenal professor who I highly recommend taking classes with. "
Pat Barclay,Psychology,4.9,2.6,5,"Professor Barclay is one of the most interesting professors I've had at Cornell. He always fills his lectures with fascinating discussions of current research. He presents the material very logically and provides good explanations for everything he says. I am not a science major, but his explanations made perfect sense even without a bio background"
Patrick Gibney,Food Science,5.0,3.0,1,"My favorite professor at Cornell. He is incredibly intelligent and knowledgeable but unlike many other professors, he truly wants to see you succeed. He goes out of his way to set up meeting times and help you understand complex material. He does not make students compete against each other for grades. He is just great!"
Pat Johnson,Biology,4.1,3.8,5,Dr Johnson is great!!! She's so nice and if you pay attention in class you'll do well.  The posters are a nice touch to a lecture based class and allow for grade improvements.  Definitely recommend the class and getting to know Dr Johnson!  You won't find a more motherly professor at Cornell
Patrick Sullivan,Mathematics,3.5,1.9,23,Pat is so awesome. He's a great lecturer and a good person. I learned the most from this class out of any I've taken at cornell but it taught me the most
Patrick Charles,Architecture,1.0,3.5,2,"Unclear powerpoint slides, way too much textbook readings every class, doesn't seem to know how to teach all the material. Wouldn't take the class again if it wasn't a requirement."
Matthew Durham,Mathematics,1.0,4.0,1,"So trash, hard to follow along in lectures, made many mistakes. Class material is hard enough but just reading the textbook is better than trying to listen in class"
Matthew Eichhorn,Mathematics,4.0,3.7,3,"Matt is by far one of the smartest and most capable faculty members in the CS department. He is kind, caring, and genuinely cares about his students. His course is really satisfying to take because he is so passionate and good at explaining things. "
Matthew Paszek,Engineering,3.5,2.0,1,"Nice guy, seems like he's always high. On a few occasions the lecture notes weren't clear enough to answer the homework problem accurately but if you go to the textbook afterwards there wasn't any doubt. "
Matthew Reid,Civil Engineering,5.0,2.0,2,Loved this class! Professor Reid is very helpful during lab. 
Matthew McGranaghan,Marketing,1.0,3.0,1,"It is clear that McGranaghan has no experience with Marketing for a real company. You might as well read the textbook: it will be more concise and probably more interesting than him. Also, none of our class assignments are related to the lectures. He thinks there is only one correct answer to cases, so you better say exactly what he wants you to."
Matthew Ryan,Agriculture,4.0,2.0,1,I really enjoyed the field trips to farms and guest speakers in this class.
Matthew Wallaert,Psychology,5.0,3.5,2,No Comments
Matthew Delisa,Engineering,4.2,3.4,5,Professor Delisa is probably the best teacher I've had. His lectures are really engaging. He encourages discussions in class. Even the assignments are graded based on how much you tried rather than on how correct the answers are. The very atmosphere in the class promotes learning. The TA- Natalia was also really great and prompt in grading.
Doug James,Computer Science,4.2,3.6,5,"Doug is really funny and nice. He cracks some of the best brilliant jokes. Hes classes are very fun to go to. Materials, though, are very tough. But you dont really have to be able to work out everything. Physically based computer animation requires advanced physics knowledge, but you dont need everything to do well in this class though."
James Westwater,Design,4.0,2.0,1,"James is very very nice, caring, and is not a tough grader. I love this class because he invites lecturers/ performers from different fields to give presentations in class. They are truly amazing."
